epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_precision,train_recall,train_f1,train_auc,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_precision,test_recall,test_f1,test_auc,best_epoch
43,53.26458,2696.15,0.74893,0.0742557,6.545e-05,383461.0,0.05176,0.97669,0.79172,0.51218,0.62198,0.95726,1.86038,0.07977216,0.0,383461.0,0.01442,0.98055,0.50877,0.35802,0.42029,0.81836,1.84247,0.13994314,0.0,383461.0,0.01428,0.96864,0.50562,0.34615,0.41096,0.77872,
44,52.92968,2653.85176,0.73718,0.07311868,6.387e-05,383461.0,0.05144,0.97641,0.77941,0.51623,0.62109,0.95959,1.84891,0.07778967,0.0,383461.0,0.01433,0.98274,0.61905,0.32099,0.42276,0.82401,1.84345,0.14513303,0.0,383461.0,0.01429,0.96815,0.49275,0.26154,0.34171,0.76539,
45,53.13122,2611.32786,0.72537,0.07173601,6.227e-05,383461.0,0.05163,0.9769,0.78434,0.52841,0.63143,0.96242,1.85068,0.08244576,0.0,383461.0,0.01435,0.97958,0.47368,0.33333,0.3913,0.81281,1.84195,0.14360675,0.0,383461.0,0.01428,0.96718,0.47126,0.31538,0.37788,0.78479,
46,52.82249,2568.00445,0.71333,0.07166962,6.066e-05,383461.0,0.05133,0.97699,0.79357,0.5211,0.6291,0.96217,1.86354,0.07630467,0.0,383461.0,0.01445,0.98128,0.55,0.2716,0.36364,0.8265,1.85437,0.14448512,0.0,383461.0,0.01437,0.96864,0.50725,0.26923,0.35176,0.76439,
47,51.90532,2523.29164,0.70091,0.07043347,5.904e-05,383461.0,0.05044,0.97769,0.8,0.53896,0.64403,0.96301,1.87028,0.08648293,0.0,383461.0,0.0145,0.98274,0.625,0.30864,0.41322,0.80772,1.86019,0.1587021,0.0,383461.0,0.01442,0.96766,0.47945,0.26923,0.34483,0.77459,
48,51.90258,2478.2824,0.68841,0.07047675,5.741e-05,383461.0,0.05044,0.97711,0.7903,0.52922,0.63393,0.96337,1.87437,0.08488812,0.0,383461.0,0.01453,0.97909,0.46154,0.37037,0.41096,0.8194,1.86221,0.1464725,0.0,383461.0,0.01444,0.96693,0.46809,0.33846,0.39286,0.77677,
49,52.13332,2433.22817,0.6759,0.06831363,5.577e-05,383461.0,0.05066,0.97812,0.80695,0.54627,0.6515,0.96705,1.87229,0.08084313,0.0,383461.0,0.01451,0.98079,0.51724,0.37037,0.43165,0.83072,1.86029,0.15027171,0.0,383461.0,0.01442,0.96791,0.48684,0.28462,0.35922,0.77513,True
50,51.9002,2387.67236,0.66324,0.0678364,5.413e-05,383461.0,0.05044,0.9776,0.79152,0.54545,0.64584,0.96761,1.86774,0.08603633,0.0,383461.0,0.01448,0.98104,0.53333,0.2963,0.38095,0.8173,1.8559,0.15945279,0.0,383461.0,0.01439,0.96961,0.54237,0.24615,0.33862,0.76161,
51,51.88296,2341.85662,0.65052,0.06652989,5.248e-05,383461.0,0.05042,0.979,0.80985,0.57386,0.67173,0.9678,1.86798,0.08840978,0.0,383461.0,0.01448,0.97958,0.46154,0.22222,0.3,0.81517,1.85893,0.16235505,0.0,383461.0,0.01441,0.96912,0.52632,0.23077,0.32086,0.76417,
52,51.89246,2295.82034,0.63773,0.06762412,5.083e-05,383461.0,0.05043,0.97857,0.80533,0.56412,0.66348,0.96829,1.86813,0.08643405,0.0,383461.0,0.01448,0.98079,0.51562,0.40741,0.45517,0.82293,1.8581,0.15585917,0.0,383461.0,0.0144,0.96912,0.51613,0.36923,0.43049,0.78123,
