epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_precision,train_recall,train_f1,train_auc,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_precision,test_recall,test_f1,test_auc,best_epoch,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5,mpnn_param_layer_6,global_attention_param_layer_6,mpnn_param_layer_7,global_attention_param_layer_7,mpnn_param_layer_8,global_attention_param_layer_8,mpnn_param_layer_9,global_attention_param_layer_9,mpnn_param_layer_10,global_attention_param_layer_10
30,81.65421,5665.74411,1.57382,0.08707855,8.386e-05,558693.0,0.07935,0.97292,0.7378,0.42938,0.54284,0.93164,3.16955,0.07706847,0.0,558693.0,0.02457,0.98274,0.6,0.37037,0.45802,0.81698,3.17453,0.1394309,0.0,558693.0,0.02461,0.96669,0.44776,0.23077,0.30457,0.76712,,1.0285,0.9715,1.0622,0.9378,1.0499,0.9501,1.0928,0.9072,1.1139,0.8861,1.0443,0.9557,1.0378,0.9622,1.0598,0.9402,1.0562,0.9438,1.0594,0.9406
31,82.9738,5585.4627,1.55152,0.08556678,8.263e-05,558693.0,0.08064,0.9735,0.7507,0.4375,0.55282,0.93258,3.28543,0.07737971,0.0,558693.0,0.02547,0.98225,0.6,0.2963,0.39669,0.83004,3.16724,0.14261777,0.0,558693.0,0.02455,0.97107,0.64103,0.19231,0.29586,0.75464,,1.0287,0.9713,1.0628,0.9372,1.0493,0.9507,1.094,0.9061,1.1172,0.8828,1.0469,0.9531,1.0396,0.9604,1.0628,0.9372,1.0563,0.9437,1.0592,0.9408
32,79.62069,5498.21028,1.52728,0.08293161,8.136e-05,558693.0,0.07738,0.97456,0.76368,0.46429,0.57749,0.93863,3.20582,0.07872714,0.0,558693.0,0.02485,0.98006,0.4898,0.2963,0.36923,0.80944,3.23998,0.13725668,0.0,558693.0,0.02512,0.96791,0.48387,0.23077,0.3125,0.75568,,1.029,0.971,1.0654,0.9346,1.05,0.95,1.0954,0.9046,1.1187,0.8813,1.0495,0.9505,1.0397,0.9603,1.0637,0.9363,1.059,0.941,1.0603,0.9397
33,79.49064,5411.15435,1.5031,0.08181066,8.005e-05,558693.0,0.07725,0.97489,0.77582,0.46347,0.58028,0.93943,3.21619,0.08207331,0.0,558693.0,0.02493,0.97982,0.48077,0.30864,0.37594,0.8006,3.17145,0.14409879,0.0,558693.0,0.02458,0.9645,0.38889,0.21538,0.27723,0.75054,,1.0306,0.9694,1.0671,0.9329,1.0539,0.9461,1.0977,0.9023,1.1221,0.8779,1.052,0.948,1.042,0.958,1.0641,0.9359,1.0607,0.9393,1.0631,0.937
34,79.37892,5324.32324,1.47898,0.08132943,7.872e-05,558693.0,0.07714,0.97413,0.75848,0.45373,0.5678,0.94597,3.20122,0.08466622,0.0,558693.0,0.02482,0.98006,0.49153,0.35802,0.41429,0.80695,3.20173,0.14726205,0.0,558693.0,0.02482,0.96548,0.42308,0.25385,0.31731,0.76055,,1.033,0.967,1.0667,0.9333,1.0557,0.9443,1.1009,0.8992,1.1229,0.8771,1.0532,0.9468,1.0451,0.9549,1.0653,0.9347,1.0609,0.9391,1.0631,0.9369
35,80.58033,5240.04198,1.45557,0.08146278,7.735e-05,558693.0,0.07831,0.97511,0.76853,0.47971,0.5907,0.94223,3.20711,0.08284116,0.0,558693.0,0.02486,0.97933,0.46429,0.32099,0.37956,0.80414,3.28222,0.1418559,0.0,558693.0,0.02544,0.96475,0.4026,0.23846,0.29952,0.76603,,1.0292,0.9708,1.0673,0.9327,1.0573,0.9427,1.1038,0.8962,1.1267,0.8734,1.0559,0.9441,1.0431,0.9569,1.0683,0.9317,1.0628,0.9372,1.0649,0.9351
36,80.46555,5155.76534,1.43216,0.07997436,7.595e-05,558693.0,0.0782,0.97544,0.77749,0.48214,0.59519,0.94407,3.45058,0.08640366,0.0,558693.0,0.02675,0.97788,0.41935,0.32099,0.36364,0.80299,3.27476,0.14022514,0.0,558693.0,0.02539,0.96718,0.46753,0.27692,0.34783,0.76927,,1.0285,0.9715,1.0675,0.9325,1.0558,0.9442,1.1061,0.8939,1.1292,0.8708,1.0601,0.9399,1.0457,0.9543,1.0687,0.9313,1.0644,0.9356,1.0645,0.9355
37,79.6307,5070.32715,1.40842,0.07743567,7.452e-05,558693.0,0.07739,0.97523,0.7747,0.47727,0.59066,0.95106,3.10781,0.08022294,0.0,558693.0,0.02409,0.98201,0.56863,0.35802,0.43939,0.81834,3.14751,0.15192137,0.0,558693.0,0.0244,0.96864,0.50685,0.28462,0.36453,0.75818,,1.0289,0.9711,1.0698,0.9302,1.0573,0.9427,1.1076,0.8924,1.1297,0.8703,1.0612,0.9388,1.0474,0.9526,1.068,0.932,1.0662,0.9338,1.0669,0.9331
38,78.66747,4983.68019,1.38436,0.07667217,7.307e-05,558693.0,0.07645,0.97666,0.78713,0.51623,0.62353,0.95098,3.16959,0.08256542,0.0,558693.0,0.02457,0.98128,0.54348,0.30864,0.3937,0.80584,3.2273,0.15034739,0.0,558693.0,0.02502,0.96523,0.4,0.2,0.26667,0.75255,,1.0295,0.9705,1.0732,0.9268,1.0604,0.9396,1.109,0.891,1.1332,0.8668,1.063,0.937,1.0477,0.9523,1.0705,0.9295,1.0693,0.9307,1.0665,0.9335
39,78.68948,4897.46523,1.36041,0.07587244,7.159e-05,558693.0,0.07647,0.97608,0.78058,0.50244,0.61136,0.95175,3.14859,0.08449163,0.0,558693.0,0.02441,0.98274,0.61905,0.32099,0.42276,0.80344,3.19024,0.14978159,0.0,558693.0,0.02473,0.96888,0.51515,0.26154,0.34694,0.7705,,1.0287,0.9713,1.073,0.927,1.0595,0.9405,1.1117,0.8884,1.1354,0.8646,1.0638,0.9362,1.049,0.951,1.0706,0.9294,1.0686,0.9314,1.0684,0.9316
40,79.32995,4812.539,1.33682,0.074157,7.008e-05,558693.0,0.07709,0.97626,0.78508,0.50406,0.61394,0.95695,3.12515,0.08097545,0.0,558693.0,0.02423,0.98055,0.5098,0.32099,0.39394,0.81275,3.07963,0.15264261,0.0,558693.0,0.02387,0.96742,0.47059,0.24615,0.32323,0.74724,,1.0303,0.9697,1.0737,0.9263,1.0634,0.9366,1.1144,0.8856,1.1365,0.8636,1.065,0.935,1.0492,0.9508,1.0708,0.9292,1.0676,0.9324,1.0696,0.9304
41,78.58435,4726.84963,1.31301,0.07344845,6.856e-05,558693.0,0.07637,0.97599,0.77217,0.50893,0.6135,0.95801,3.15044,0.0865565,0.0,558693.0,0.02442,0.98031,0.5,0.34568,0.40876,0.81079,3.11792,0.16312705,0.0,558693.0,0.02417,0.96256,0.36667,0.25385,0.3,0.76164,,1.03,0.97,1.0751,0.9249,1.0642,0.9358,1.115,0.885,1.1384,0.8616,1.0681,0.9319,1.0493,0.9507,1.0717,0.9283,1.0689,0.9311,1.0716,0.9284
42,78.33691,4641.16273,1.28921,0.07227824,6.701e-05,558693.0,0.07613,0.97681,0.78632,0.52273,0.62799,0.95956,3.15737,0.08149807,0.0,558693.0,0.02448,0.98249,0.59184,0.35802,0.44615,0.82083,3.22495,0.15260426,0.0,558693.0,0.025,0.96937,0.53226,0.25385,0.34375,0.78409,,1.0295,0.9705,1.0761,0.9239,1.0637,0.9363,1.1179,0.8821,1.1397,0.8604,1.0702,0.9298,1.0508,0.9492,1.0736,0.9264,1.0703,0.9297,1.073,0.927
43,79.78305,4557.65046,1.26601,0.07043735,6.545e-05,558693.0,0.07753,0.97641,0.77737,0.51867,0.6222,0.96425,3.11147,0.08810462,0.0,558693.0,0.02412,0.98006,0.49091,0.33333,0.39706,0.81339,3.09505,0.17298647,0.0,558693.0,0.02399,0.96669,0.44776,0.23077,0.30457,0.74748,,1.0302,0.9698,1.0779,0.9221,1.0677,0.9323,1.1175,0.8825,1.1414,0.8586,1.0744,0.9256,1.0519,0.9481,1.0762,0.9238,1.0714,0.9286,1.0721,0.9279
