epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_auc,train_ap,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_auc,val_ap,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_auc,test_ap,best_epoch,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5
35,255.67135,16841.86944,4.6783,0.02727553,0.00038674,9744870.0,0.37324,0.98863,0.94738,0.47294,12.92246,0.04421629,0.0,9744870.0,0.15026,0.98162,0.88212,0.30029,15.37489,0.04663354,0.0,9744870.0,0.17878,0.98008,0.87633,0.28574,True,1.4392,0.5608,1.7368,0.2632,1.6822,0.3178,1.6581,0.3419,1.7007,0.2993
36,255.02491,16564.87345,4.60135,0.02701959,0.00037974,9744870.0,0.3723,0.98875,0.94866,0.47762,12.93108,0.04424455,0.0,9744870.0,0.15036,0.98148,0.88324,0.29536,13.61982,0.04669216,0.0,9744870.0,0.15837,0.98044,0.87514,0.28326,,1.442,0.558,1.7398,0.2602,1.6901,0.3099,1.6562,0.3438,1.6944,0.3056
37,255.95104,16290.54488,4.52515,0.02679064,0.00037261,9744870.0,0.37365,0.98875,0.94995,0.48478,12.91475,0.04445211,0.0,9744870.0,0.15017,0.98138,0.88405,0.29698,13.64059,0.04688259,0.0,9744870.0,0.15861,0.98033,0.8764,0.28891,,1.4469,0.5531,1.7402,0.2598,1.6819,0.3181,1.6605,0.3395,1.696,0.304
38,254.17486,16014.38063,4.44844,0.02656887,0.00036534,9744870.0,0.37106,0.98901,0.95107,0.49372,12.94048,0.04432799,0.0,9744870.0,0.15047,0.98132,0.88252,0.29515,13.58788,0.04670529,0.0,9744870.0,0.158,0.98039,0.87689,0.28668,,1.4534,0.5466,1.7409,0.2591,1.6836,0.3163,1.6539,0.3461,1.6983,0.3017
39,256.95916,15743.49229,4.37319,0.02634702,0.00035794,9744870.0,0.37512,0.9891,0.95305,0.49882,12.86109,0.04491842,0.0,9744870.0,0.14955,0.9809,0.88158,0.29258,13.61383,0.04731414,0.0,9744870.0,0.1583,0.98002,0.87504,0.28451,,1.4601,0.5399,1.7388,0.2612,1.6881,0.3119,1.6496,0.3504,1.6947,0.3053
40,255.99059,15471.88963,4.29775,0.02609682,0.00035042,9744870.0,0.37371,0.9892,0.95409,0.50615,12.95728,0.04483098,0.0,9744870.0,0.15067,0.9812,0.8791,0.29298,15.28873,0.04719356,0.0,9744870.0,0.17778,0.97999,0.87591,0.28374,,1.4641,0.5359,1.7465,0.2535,1.69,0.31,1.6478,0.3522,1.6974,0.3026
41,253.23868,15197.23015,4.22145,0.02587262,0.0003428,9744870.0,0.36969,0.98927,0.95531,0.51195,12.87836,0.04496184,0.0,9744870.0,0.14975,0.98133,0.88113,0.29745,13.61848,0.04732682,0.0,9744870.0,0.15835,0.97998,0.87653,0.29117,,1.4651,0.5349,1.7426,0.2574,1.6912,0.3088,1.6475,0.3525,1.6991,0.3009
42,254.42222,14925.13586,4.14587,0.02569814,0.00033507,9744870.0,0.37142,0.98929,0.9567,0.51673,12.91508,0.0447901,0.0,9744870.0,0.15018,0.98132,0.88116,0.29847,13.58368,0.04719517,0.0,9744870.0,0.15795,0.98028,0.876,0.28986,,1.4694,0.5306,1.7442,0.2558,1.6914,0.3086,1.6494,0.3507,1.6924,0.3076
43,253.91947,14653.20499,4.07033,0.02549449,0.00032725,9744870.0,0.37069,0.98943,0.95768,0.52195,12.87032,0.04515732,0.0,9744870.0,0.14965,0.98117,0.88087,0.29828,13.64016,0.04766683,0.0,9744870.0,0.15861,0.98013,0.87455,0.28957,,1.4709,0.529,1.7517,0.2483,1.6872,0.3128,1.6412,0.3588,1.6909,0.3091
44,255.631,14384.16648,3.9956,0.02526401,0.00031935,9744870.0,0.37318,0.9895,0.95875,0.52599,12.8762,0.04521149,0.0,9744870.0,0.14972,0.98156,0.87884,0.29439,13.5773,0.04765346,0.0,9744870.0,0.15788,0.98044,0.87362,0.28468,,1.4673,0.5327,1.747,0.2529,1.6897,0.3103,1.6388,0.3612,1.6905,0.3095
