epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_auc,train_ap,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_auc,val_ap,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_auc,test_ap,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5
35.0,256.78639,16692.6757,4.63685,0.0272,0.00039,9744870.0,0.37487,0.98869,0.94802,0.47392,13.11143,0.04445,0.0,9744870.0,0.15246,0.98132,0.88337,0.29327,14.50318,0.04681,0.0,9744870.0,0.16864,0.97996,0.87822,0.28534,1.45523,0.54477,1.75716,0.24284,1.71389,0.28612,1.63438,0.36562,1.66923,0.33077
36.0,257.54447,16426.27017,4.56285,0.02695,0.00038,9744870.0,0.37598,0.98882,0.94959,0.4815,13.14239,0.04439,0.0,9744870.0,0.15282,0.98144,0.88254,0.29429,13.85596,0.04673,0.0,9744870.0,0.16112,0.98012,0.87732,0.28693,1.46202,0.53799,1.76234,0.23766,1.71582,0.28419,1.63483,0.36517,1.66902,0.33098
37.0,257.27954,16159.89877,4.48886,0.02671,0.00037,9744870.0,0.37559,0.98888,0.95108,0.48747,13.10992,0.04454,0.0,9744870.0,0.15244,0.98138,0.88294,0.29539,13.80954,0.04689,0.0,9744870.0,0.16058,0.98007,0.8775,0.2883,1.46652,0.53348,1.76726,0.23274,1.71434,0.28566,1.63343,0.36657,1.66794,0.33205
38.0,257.86543,15894.91001,4.41525,0.0265,0.00037,9744870.0,0.37644,0.98899,0.95231,0.49463,13.09182,0.04466,0.0,9744870.0,0.15223,0.98124,0.88247,0.29636,13.81199,0.04701,0.0,9744870.0,0.16061,0.97997,0.87746,0.28915,1.47213,0.52788,1.76979,0.23021,1.71642,0.28357,1.63101,0.36899,1.66851,0.33149
39.0,258.12716,15630.67001,4.34185,0.02626,0.00036,9744870.0,0.37683,0.98912,0.95368,0.50036,13.13238,0.04477,0.0,9744870.0,0.1527,0.98134,0.88193,0.29629,13.85106,0.04719,0.0,9744870.0,0.16106,0.98004,0.87624,0.28826,1.47606,0.52394,1.77156,0.22844,1.71551,0.28449,1.62956,0.37044,1.6667,0.3333
40.0,257.01985,15365.13476,4.26809,0.02603,0.00035,9744870.0,0.37521,0.98919,0.95499,0.50664,13.13155,0.04486,0.0,9744870.0,0.15269,0.98123,0.88205,0.29713,14.48996,0.04721,0.0,9744870.0,0.16849,0.97998,0.87684,0.28888,1.47874,0.52126,1.77378,0.22622,1.71733,0.28269,1.62569,0.37431,1.6666,0.3334
41.0,257.1211,15100.14482,4.19448,0.02581,0.00034,9744870.0,0.37536,0.98929,0.95605,0.51229,13.11461,0.04493,0.0,9744870.0,0.1525,0.98139,0.88075,0.29644,13.8143,0.04726,0.0,9744870.0,0.16063,0.98006,0.87596,0.28943,1.48338,0.51662,1.77659,0.22341,1.71937,0.28063,1.62498,0.37502,1.66651,0.33349
42.0,257.51995,14836.04958,4.12112,0.0256,0.00034,9744870.0,0.37594,0.98938,0.95735,0.51786,13.1125,0.04518,0.0,9744870.0,0.15247,0.98115,0.88007,0.29675,13.80913,0.04756,0.0,9744870.0,0.16057,0.9799,0.87542,0.2886,1.48598,0.51402,1.77915,0.22086,1.71811,0.2819,1.62401,0.376,1.66497,0.33503
43.0,257.59192,14572.34482,4.04787,0.02538,0.00033,9744870.0,0.37605,0.98948,0.95841,0.52457,13.1445,0.04524,0.0,9744870.0,0.15284,0.98118,0.88042,0.29754,13.87778,0.04769,0.0,9744870.0,0.16137,0.97989,0.87485,0.28902,1.48771,0.51228,1.78244,0.21756,1.71802,0.28197,1.62232,0.37768,1.66173,0.33827
44.0,258.9635,14310.58811,3.97516,0.02516,0.00032,9744870.0,0.37805,0.98957,0.95961,0.53002,13.13732,0.04525,0.0,9744870.0,0.15276,0.98136,0.87968,0.2965,13.84101,0.04763,0.0,9744870.0,0.16094,0.98007,0.87483,0.28813,1.48906,0.51094,1.78105,0.21894,1.71649,0.28351,1.62029,0.37971,1.66191,0.33809
45.0,257.62124,14047.37716,3.90205,0.02495,0.00031,9744870.0,0.37609,0.98965,0.96075,0.53512,13.81774,0.04532,0.0,9744870.0,0.16067,0.98123,0.87948,0.29746,13.85775,0.04777,0.0,9744870.0,0.16114,0.97993,0.87513,0.28959,1.49219,0.50781,1.78444,0.21556,1.71749,0.28251,1.61726,0.38275,1.66068,0.33933
46.0,258.23216,13785.09297,3.82919,0.02473,0.0003,9744870.0,0.37698,0.98976,0.96182,0.54204,13.12109,0.04545,0.0,9744870.0,0.15257,0.98122,0.87908,0.29804,13.96515,0.04795,0.0,9744870.0,0.16239,0.97995,0.87346,0.28949,1.49419,0.50581,1.78461,0.21538,1.71755,0.28245,1.61499,0.38502,1.65932,0.34068
47.0,257.26448,13521.9293,3.75609,0.02453,0.0003,9744870.0,0.37557,0.98983,0.96283,0.5474,13.11192,0.04552,0.0,9744870.0,0.15246,0.98131,0.87882,0.29752,13.7877,0.04795,0.0,9744870.0,0.16032,0.98009,0.87415,0.28991,1.4961,0.5039,1.78683,0.21317,1.7156,0.2844,1.61212,0.38788,1.65746,0.34255
48.0,257.54672,13259.30016,3.68314,0.02433,0.00029,9744870.0,0.37598,0.98991,0.96384,0.55214,13.10938,0.04567,0.0,9744870.0,0.15244,0.98126,0.87847,0.29729,13.81428,0.04813,0.0,9744870.0,0.16063,0.97994,0.87315,0.29028,1.49873,0.50127,1.7874,0.21261,1.71459,0.28542,1.61219,0.3878,1.65751,0.34249
49.0,257.64874,12996.97635,3.61027,0.02413,0.00028,9744870.0,0.37613,0.98999,0.96488,0.5576,13.11879,0.04597,0.0,9744870.0,0.15255,0.98114,0.87741,0.29749,13.82124,0.04848,0.0,9744870.0,0.16071,0.97978,0.8723,0.28882,1.49875,0.50124,1.78801,0.21199,1.71325,0.28675,1.61054,0.38946,1.65468,0.34532
50.0,257.60681,12734.79558,3.53744,0.02393,0.00027,9744870.0,0.37607,0.99007,0.96572,0.56392,13.91525,0.04596,0.0,9744870.0,0.1618,0.98117,0.8772,0.29849,13.96397,0.04849,0.0,9744870.0,0.16237,0.97991,0.8723,0.28932,1.5003,0.49968,1.78838,0.21162,1.71391,0.28609,1.60798,0.39202,1.65554,0.34446
51.0,259.11656,12474.18435,3.46505,0.02373,0.00026,9744870.0,0.37827,0.99015,0.96668,0.568,13.16942,0.04613,0.0,9744870.0,0.15313,0.98106,0.87654,0.29785,14.03385,0.04866,0.0,9744870.0,0.16318,0.97978,0.87162,0.28874,1.50189,0.49811,1.7908,0.20921,1.71245,0.28755,1.60636,0.39365,1.65443,0.34557
