epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_mae,train_r2,train_spearmanr,train_mse,train_rmse,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,best_epoch
38,6.91095,14789.59148,4.10822,0.29469921,0.00076,273977.0,0.02208,0.2947,0.84357,0.97432,0.63251,0.79531,0.30687,0.2663981,0.0,273977.0,0.00959,0.2664,0.81134,0.9814,0.74308,0.86202,0.32644,0.23400705,0.0,273977.0,0.0102,0.23401,0.94124,0.98013,0.23904,0.48892,
39,6.87373,14749.31137,4.09703,0.29658177,0.00078,273977.0,0.02196,0.29658,0.84197,0.97241,0.63897,0.79936,0.30403,0.25405785,0.0,273977.0,0.0095,0.25406,0.82299,0.98204,0.69721,0.83499,0.30326,0.2193937,0.0,273977.0,0.00948,0.21939,0.9478,0.98089,0.21237,0.46084,
40,6.87826,14710.87695,4.08635,0.28865756,0.0008,273977.0,0.02198,0.28866,0.84578,0.9736,0.62358,0.78967,0.30264,0.24766157,0.0,273977.0,0.00946,0.24766,0.82668,0.98462,0.68268,0.82625,0.3034,0.22873913,0.0,273977.0,0.00948,0.22874,0.93881,0.98193,0.24892,0.49892,
41,6.87318,14673.70864,4.07603,0.29436271,0.00082,273977.0,0.02196,0.29436,0.84053,0.97338,0.64479,0.80299,0.30298,0.27287757,0.0,273977.0,0.00947,0.27288,0.80855,0.97942,0.75406,0.86836,0.30097,0.23736414,0.0,273977.0,0.00941,0.23736,0.93898,0.98103,0.24824,0.49824,
42,6.89967,14639.1549,4.06643,0.28727538,0.00084,273977.0,0.02204,0.28728,0.8459,0.97508,0.62309,0.78936,0.30513,0.27045471,0.0,273977.0,0.00954,0.27045,0.81837,0.98392,0.71539,0.84581,0.30595,0.24158328,0.0,273977.0,0.00956,0.24158,0.93682,0.98214,0.25703,0.50698,
43,6.84034,14603.22074,4.05645,0.29750832,0.00086,273977.0,0.02185,0.29751,0.84407,0.97276,0.6305,0.79404,0.30426,0.27156303,0.0,273977.0,0.00951,0.27156,0.82388,0.97791,0.69369,0.83288,0.30098,0.24285257,0.0,273977.0,0.00941,0.24285,0.94384,0.97983,0.22846,0.47797,
44,6.84339,14568.71188,4.04686,0.29602804,0.00088,273977.0,0.02186,0.29603,0.84191,0.97334,0.6392,0.7995,0.30178,0.30645626,0.0,273977.0,0.00943,0.30646,0.81906,0.98165,0.7127,0.84421,0.30244,0.28553173,0.0,273977.0,0.00945,0.28553,0.93506,0.97972,0.26418,0.51398,
45,6.8345,14535.02847,4.03751,0.2952472,0.0009,273977.0,0.02184,0.29525,0.84117,0.97389,0.64222,0.80139,0.30167,0.30582756,0.0,273977.0,0.00943,0.30583,0.82278,0.98242,0.69802,0.83547,0.31325,0.27386166,0.0,273977.0,0.00979,0.27386,0.94014,0.97972,0.24352,0.49348,
46,6.86251,14503.65127,4.02879,0.28987261,0.00092,273977.0,0.02192,0.28987,0.84588,0.97428,0.62318,0.78942,0.32086,0.27915443,0.0,273977.0,0.01003,0.27915,0.81691,0.97642,0.72114,0.8492,0.30554,0.24266755,0.0,273977.0,0.00955,0.24267,0.94018,0.974,0.24335,0.49331,
47,6.86315,14473.3215,4.02037,0.29011434,0.00094,273977.0,0.02193,0.29011,0.84235,0.9734,0.63743,0.79839,0.30207,0.26616131,0.0,273977.0,0.00944,0.26616,0.82335,0.98418,0.69578,0.83413,0.31362,0.23318833,0.0,273977.0,0.0098,0.23319,0.94237,0.98197,0.23446,0.48421,
48,6.84902,14443.38717,4.01205,0.30404231,0.00096,273977.0,0.02188,0.30404,0.83467,0.97092,0.66851,0.81762,0.30212,0.2411254,0.0,273977.0,0.00944,0.24113,0.83408,0.98434,0.65354,0.80842,0.30147,0.21117141,0.0,273977.0,0.00942,0.21117,0.95542,0.98336,0.18138,0.42588,
49,6.85055,14414.43606,4.00401,0.28558354,0.00098,273977.0,0.02189,0.28558,0.84765,0.97511,0.616,0.78485,0.30195,0.30386579,0.0,273977.0,0.00944,0.30387,0.82045,0.97744,0.7072,0.84095,0.30034,0.2764252,0.0,273977.0,0.00939,0.27643,0.94088,0.97608,0.2405,0.49041,
50,6.82945,14385.54527,3.99598,0.30557812,0.001,273977.0,0.02182,0.30558,0.84172,0.97155,0.63999,0.79999,0.30196,0.26382771,0.0,273977.0,0.00944,0.26383,0.82005,0.98395,0.70879,0.8419,0.33317,0.24938464,0.0,273977.0,0.01041,0.24938,0.93569,0.98127,0.26162,0.51148,
51,6.84241,14357.98821,3.98833,0.28832517,0.001,273977.0,0.02186,0.28833,0.84595,0.97382,0.6229,0.78924,0.30944,0.26827495,0.0,273977.0,0.00967,0.26827,0.81867,0.98117,0.71423,0.84512,0.30067,0.23985332,0.0,273977.0,0.0094,0.23985,0.9435,0.97916,0.22986,0.47944,
52,6.83804,14331.05232,3.98085,0.27716118,0.001,273977.0,0.02185,0.27716,0.85087,0.97617,0.60299,0.77652,0.29935,0.29912096,0.0,273977.0,0.00935,0.29912,0.82717,0.98458,0.68073,0.82507,0.29785,0.28134012,0.0,273977.0,0.00931,0.28134,0.92967,0.98111,0.28614,0.53492,
53,6.83518,14304.758,3.97354,0.27729671,0.00099999,273977.0,0.02184,0.2773,0.84861,0.97644,0.61214,0.7824,0.30281,0.24292923,0.0,273977.0,0.00946,0.24293,0.82444,0.98542,0.6915,0.83156,0.30076,0.21658202,0.0,273977.0,0.0094,0.21658,0.94977,0.98254,0.20433,0.45203,
54,6.85782,14279.97157,3.96666,0.27121426,0.00099999,273977.0,0.02191,0.27121,0.84648,0.97671,0.62072,0.78786,0.30355,0.236423,0.0,273977.0,0.00949,0.23642,0.84335,0.98648,0.61699,0.78549,0.31583,0.20974778,0.0,273977.0,0.00987,0.20975,0.9541,0.98274,0.18674,0.43213,
55,6.8914,14256.99139,3.96028,0.27465574,0.00099998,273977.0,0.02202,0.27466,0.84336,0.97603,0.63335,0.79583,0.30622,0.26549967,0.0,273977.0,0.00957,0.2655,0.82836,0.98485,0.67604,0.82222,0.30887,0.24932383,0.0,273977.0,0.00965,0.24932,0.94282,0.98028,0.23261,0.48229,
