epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_mae,train_r2,train_spearmanr,train_mse,train_rmse,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,best_epoch,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5,mpnn_param_layer_6,global_attention_param_layer_6,mpnn_param_layer_7,global_attention_param_layer_7,mpnn_param_layer_8,global_attention_param_layer_8,mpnn_param_layer_9,global_attention_param_layer_9,mpnn_param_layer_10,global_attention_param_layer_10
34,18.33566,36378.23741,10.10507,0.28491448,0.00068,423737.0,0.05858,0.28491,0.84846,0.97529,0.61275,0.78279,0.60258,0.2861918,0.0,423737.0,0.01883,0.28619,0.8201,0.97956,0.70859,0.84178,0.60354,0.253258,0.0,423737.0,0.01886,0.25326,0.94135,0.97944,0.23862,0.48849,,1.086,0.914,1.1021,0.8979,1.1945,0.8055,1.1186,0.8814,1.1665,0.8335,1.143,0.857,1.1367,0.8633,1.1686,0.8314,1.1743,0.8257,1.1684,0.8316
35,18.14205,36339.48181,10.0943,0.27861533,0.0007,423737.0,0.05796,0.27862,0.85092,0.97669,0.60281,0.77641,0.59747,0.36324026,0.0,423737.0,0.01867,0.36324,0.79252,0.97767,0.81721,0.90399,0.59972,0.34072812,0.0,423737.0,0.01874,0.34073,0.91976,0.97782,0.32643,0.57134,,1.0845,0.9155,1.1039,0.8961,1.1991,0.8009,1.1235,0.8765,1.1673,0.8327,1.1439,0.8561,1.1437,0.8562,1.182,0.818,1.1724,0.8276,1.171,0.829
36,18.35285,36313.02408,10.08695,0.29694796,0.00072,423737.0,0.05864,0.29695,0.84448,0.974,0.62882,0.79298,0.60146,0.28526031,0.0,423737.0,0.0188,0.28526,0.81859,0.98015,0.71453,0.8453,0.61826,0.25474056,0.0,423737.0,0.01932,0.25474,0.93989,0.97964,0.24454,0.49451,,1.0724,0.9276,1.1052,0.8948,1.2029,0.7971,1.1141,0.8859,1.1657,0.8343,1.1502,0.8498,1.1488,0.8512,1.1889,0.8111,1.178,0.822,1.1785,0.8215
37,20.85488,36416.17664,10.1156,0.29115809,0.00074,423737.0,0.06663,0.29116,0.84667,0.97515,0.61997,0.78738,0.63372,0.31380026,0.0,423737.0,0.0198,0.3138,0.80938,0.9797,0.75082,0.8665,0.62044,0.29109016,0.0,423737.0,0.01939,0.29109,0.90145,0.97777,0.40093,0.63319,,1.0694,0.9306,1.0988,0.9012,1.2046,0.7954,1.1213,0.8787,1.1645,0.8355,1.1432,0.8568,1.1471,0.8529,1.1845,0.8155,1.1855,0.8145,1.1851,0.8149
38,21.13176,36526.89199,10.14636,0.28812735,0.00076,423737.0,0.06751,0.28813,0.84039,0.97525,0.64536,0.80334,0.61503,0.27721726,0.0,423737.0,0.01922,0.27722,0.82355,0.98085,0.69501,0.83367,0.61354,0.24926214,0.0,423737.0,0.01917,0.24926,0.93898,0.98118,0.24826,0.49826,,1.0629,0.9371,1.0981,0.9019,1.2122,0.7878,1.1199,0.8801,1.1702,0.8298,1.1495,0.8505,1.1539,0.8461,1.1977,0.8023,1.1872,0.8128,1.1934,0.8066
39,23.2214,36733.40713,10.20372,0.28198629,0.00078,423737.0,0.07419,0.28199,0.84875,0.97598,0.61156,0.78202,0.62915,0.27902662,0.0,423737.0,0.01966,0.27903,0.83077,0.98351,0.66654,0.81642,0.61169,0.23867728,0.0,423737.0,0.01912,0.23868,0.9515,0.98232,0.19732,0.44421,,1.0619,0.9381,1.1033,0.8967,1.2161,0.784,1.1213,0.8787,1.1806,0.8194,1.1562,0.8438,1.1563,0.8437,1.2078,0.7922,1.1947,0.8053,1.2031,0.7969
40,20.84276,36815.06314,10.22641,0.28289694,0.0008,423737.0,0.06659,0.2829,0.8485,0.9749,0.61259,0.78268,0.60844,0.34847561,0.0,423737.0,0.01901,0.34848,0.79127,0.97564,0.82215,0.90672,0.60904,0.31505995,0.0,423737.0,0.01903,0.31506,0.91261,0.97169,0.35551,0.59625,,1.0613,0.9387,1.1049,0.8951,1.2231,0.7769,1.1316,0.8684,1.1956,0.8044,1.1603,0.8397,1.1623,0.8377,1.2116,0.7884,1.2046,0.7954,1.2119,0.7881
41,18.19028,36768.18229,10.21338,0.27994205,0.00082,423737.0,0.05812,0.27994,0.85003,0.97689,0.60638,0.7787,0.61255,0.25569682,0.0,423737.0,0.01914,0.2557,0.82284,0.98387,0.6978,0.83534,0.60385,0.24253155,0.0,423737.0,0.01887,0.24253,0.94057,0.98067,0.24178,0.49171,,1.0613,0.9387,1.1068,0.8932,1.2239,0.7761,1.1325,0.8675,1.1933,0.8067,1.1617,0.8383,1.1647,0.8353,1.2148,0.7852,1.2004,0.7996,1.2217,0.7783
42,18.63651,36742.94459,10.20637,0.28202339,0.00084,423737.0,0.05954,0.28202,0.84926,0.97572,0.6095,0.7807,0.59992,0.26846386,0.0,423737.0,0.01875,0.26846,0.81303,0.97907,0.73643,0.85815,0.59648,0.23199618,0.0,423737.0,0.01864,0.232,0.93342,0.97824,0.27086,0.52044,,1.045,0.955,1.1095,0.8905,1.229,0.771,1.1316,0.8683,1.1995,0.8005,1.1611,0.8389,1.1717,0.8283,1.2208,0.7792,1.2052,0.7948,1.2232,0.7768
43,18.46792,36710.51211,10.19736,0.28586294,0.00086,423737.0,0.059,0.28586,0.84561,0.9755,0.62426,0.7901,0.60405,0.26096592,0.0,423737.0,0.01888,0.26097,0.82676,0.9828,0.68234,0.82604,0.61234,0.24299942,0.0,423737.0,0.01914,0.243,0.94169,0.98148,0.23724,0.48707,,1.0402,0.9598,1.1025,0.8975,1.2197,0.7804,1.1474,0.8526,1.2088,0.7912,1.1701,0.8299,1.1878,0.8122,1.226,0.774,1.2167,0.7833,1.227,0.773
