Unnamed: 0,epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_precision,train_recall,train_f1,train_auc,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_precision,test_recall,test_f1,test_auc,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2
58,58,7.50069,334.76525,0.09299,0.10782019,4.096e-05,149013,0.02907,0.96836,0.71365,0.25893,0.37999,0.86704,0.54078,0.08148345,0.0,149013,0.01639,0.98274,0.61905,0.32099,0.42276,0.78281,0.43986,0.11896578,0.0,149013,0.01333,0.97058,0.58824,0.23077,0.33149,0.76168,0.9956,1.0044,1.0562,0.9438
59,59,8.10391,326.55951,0.09071,0.10788418,3.934e-05,149013,0.03141,0.969,0.73874,0.26623,0.39141,0.86525,0.44755,0.07741674,0.0,149013,0.01356,0.98274,0.64706,0.2716,0.38261,0.78178,0.42653,0.11751563,0.0,149013,0.01293,0.97204,0.68293,0.21538,0.32749,0.75506,0.9953,1.0047,1.0567,0.9433
60,60,7.66192,318.07453,0.08835,0.10669231,3.773e-05,149013,0.0297,0.96885,0.73576,0.26218,0.38659,0.86966,0.43939,0.0766389,0.0,149013,0.01331,0.98322,0.7,0.25926,0.37838,0.78195,0.43407,0.11827647,0.0,149013,0.01315,0.97131,0.66667,0.18462,0.28916,0.74974,0.9953,1.0047,1.057,0.943
61,61,7.42774,309.47257,0.08596,0.10637306,3.613e-05,149013,0.02879,0.96912,0.73176,0.27679,0.40165,0.86864,0.46584,0.07858602,0.0,149013,0.01412,0.98298,0.63415,0.32099,0.42623,0.78857,0.45061,0.11826011,0.0,149013,0.01365,0.9718,0.65909,0.22308,0.33333,0.75915,0.9944,1.0056,1.0566,0.9434
62,62,7.7877,301.11929,0.08364,0.10620064,3.455e-05,149013,0.03018,0.96909,0.72921,0.2776,0.40212,0.87451,0.46338,0.07777904,0.0,149013,0.01404,0.98298,0.64103,0.30864,0.41667,0.78628,0.45566,0.11726152,0.0,149013,0.01381,0.97131,0.61538,0.24615,0.35165,0.75805,0.9941,1.0058,1.0572,0.9428
63,63,7.35501,292.54029,0.08126,0.10598654,3.299e-05,149013,0.02851,0.96927,0.73866,0.2776,0.40354,0.87039,0.4267,0.08013907,0.0,149013,0.01293,0.98298,0.64103,0.30864,0.41667,0.77945,0.43124,0.11969255,0.0,149013,0.01307,0.97155,0.6383,0.23077,0.33898,0.7553,0.9939,1.0061,1.0574,0.9426
64,64,7.3198,283.98,0.07888,0.10696941,3.144e-05,149013,0.02837,0.96927,0.73866,0.2776,0.40354,0.87278,0.50454,0.07817697,0.0,149013,0.01529,0.98322,0.65,0.32099,0.42975,0.78003,0.43349,0.11781081,0.0,149013,0.01314,0.97107,0.60784,0.23846,0.34254,0.75619,0.9936,1.0064,1.0574,0.9426
65,65,7.55583,275.5789,0.07655,0.10615455,2.992e-05,149013,0.02929,0.96882,0.72489,0.26948,0.3929,0.87092,0.44074,0.08093067,0.0,149013,0.01336,0.98225,0.58333,0.34568,0.43411,0.78425,0.43893,0.11951622,0.0,149013,0.0133,0.97034,0.56667,0.26154,0.35789,0.7548,0.9931,1.0069,1.058,0.942
66,66,7.12564,266.99113,0.07416,0.10466006,2.841e-05,149013,0.02762,0.96897,0.72985,0.27192,0.39622,0.87694,0.44805,0.07899851,0.0,149013,0.01358,0.98298,0.63415,0.32099,0.42623,0.78441,0.44324,0.11818301,0.0,149013,0.01343,0.97107,0.60784,0.23846,0.34254,0.75901,0.9928,1.0072,1.0579,0.9421
67,67,7.14233,258.45423,0.07179,0.10553842,2.693e-05,149013,0.02768,0.96894,0.7234,0.27597,0.39953,0.87535,0.42572,0.07857301,0.0,149013,0.0129,0.98298,0.62791,0.33333,0.43548,0.78728,0.41649,0.11910387,0.0,149013,0.01262,0.97131,0.625,0.23077,0.33708,0.75605,0.9923,1.0077,1.0583,0.9417
68,68,7.11251,249.94435,0.06943,0.10469844,2.548e-05,149013,0.02757,0.96909,0.73626,0.27192,0.39715,0.87551,0.44857,0.07836277,0.0,149013,0.01359,0.98249,0.60976,0.30864,0.40984,0.78462,0.48903,0.11827444,0.0,149013,0.01482,0.97107,0.60784,0.23846,0.34254,0.75537,0.9924,1.0076,1.0583,0.9417
69,69,7.17408,241.50078,0.06708,0.10528748,2.405e-05,149013,0.02781,0.96918,0.72803,0.28247,0.40702,0.87521,0.46124,0.08007849,0.0,149013,0.01398,0.98298,0.63415,0.32099,0.42623,0.78187,0.51243,0.11926012,0.0,149013,0.01553,0.97058,0.58182,0.24615,0.34595,0.75841,0.9925,1.0075,1.0586,0.9414
70,70,7.90769,233.39262,0.06483,0.10575454,2.265e-05,149013,0.03065,0.97009,0.7616,0.29302,0.42321,0.87067,0.53425,0.07635575,0.0,149013,0.01619,0.98347,0.74074,0.24691,0.37037,0.77693,0.51891,0.1192212,0.0,149013,0.01572,0.97131,0.65,0.2,0.30588,0.74838,0.9922,1.0078,1.0585,0.9415
71,71,8.29183,225.43941,0.06262,0.10520629,2.128e-05,149013,0.03214,0.96909,0.74049,0.26867,0.39428,0.87471,0.52693,0.07802135,0.0,149013,0.01597,0.98274,0.625,0.30864,0.41322,0.78555,0.52311,0.11787208,0.0,149013,0.01585,0.97082,0.59259,0.24615,0.34783,0.75824,0.9919,1.0081,1.059,0.941
