Unnamed: 0,epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_precision,train_recall,train_f1,train_auc,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_precision,test_recall,test_f1,test_auc,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5,mpnn_param_layer_6,global_attention_param_layer_6,mpnn_param_layer_7,global_attention_param_layer_7,mpnn_param_layer_8,global_attention_param_layer_8,mpnn_param_layer_9,global_attention_param_layer_9,mpnn_param_layer_10,global_attention_param_layer_10
30,30,63.44284,4615.32768,1.28204,0.08886748,8.386e-05,559965,0.06165,0.97347,0.76593,0.41964,0.54221,0.92542,3.08035,0.07890551,0.0,559965,0.02388,0.98006,0.49091,0.33333,0.39706,0.8309,3.06274,0.13274763,0.0,559965,0.02374,0.96742,0.47619,0.30769,0.37383,0.75843,1.0761,0.9239,1.0895,0.9105,1.09,0.91,1.0655,0.9345,1.1079,0.8921,1.0224,0.9776,1.0594,0.9406,1.0305,0.9695,1.0456,0.9544,1.0598,0.9402
31,31,63.43976,4541.10966,1.26142,0.0874594,8.263e-05,559965,0.06165,0.97341,0.74826,0.43669,0.55151,0.92878,3.07764,0.07265858,0.0,559965,0.02386,0.98128,0.53846,0.34568,0.42105,0.82885,3.05662,0.12534457,0.0,559965,0.02369,0.96912,0.52941,0.20769,0.29834,0.783,1.0787,0.9213,1.0888,0.9112,1.0924,0.9076,1.0682,0.9318,1.1117,0.8883,1.0245,0.9755,1.0616,0.9384,1.0322,0.9678,1.0465,0.9535,1.0612,0.9388
32,32,63.46003,4467.58602,1.241,0.08774306,8.136e-05,559965,0.06167,0.97325,0.7536,0.42451,0.54309,0.92902,3.07542,0.07279829,0.0,559965,0.02384,0.98104,0.52632,0.37037,0.43478,0.83531,3.05372,0.1287119,0.0,559965,0.02367,0.96864,0.50725,0.26923,0.35176,0.76411,1.0828,0.9172,1.0904,0.9096,1.0931,0.9069,1.0695,0.9305,1.1142,0.8858,1.0254,0.9746,1.0635,0.9365,1.0317,0.9683,1.0496,0.9504,1.063,0.937
33,33,63.40953,4394.55631,1.22071,0.08508198,8.005e-05,559965,0.06162,0.97395,0.76596,0.43831,0.55756,0.93557,3.07393,0.08492252,0.0,559965,0.02383,0.97715,0.42169,0.4321,0.42683,0.81648,3.06128,0.13571122,0.0,559965,0.02373,0.96596,0.44186,0.29231,0.35185,0.7721,1.0815,0.9185,1.0911,0.9089,1.0946,0.9054,1.072,0.928,1.1166,0.8834,1.0285,0.9715,1.0639,0.9361,1.0337,0.9663,1.0531,0.9469,1.0645,0.9355
34,34,63.81268,4322.82504,1.20078,0.08535153,7.872e-05,559965,0.06201,0.97404,0.77312,0.43425,0.55613,0.93433,3.07884,0.07259344,0.0,559965,0.02387,0.98177,0.5625,0.33333,0.4186,0.8399,3.05615,0.13473894,0.0,559965,0.02369,0.97082,0.61364,0.20769,0.31034,0.76927,1.0834,0.9166,1.0916,0.9084,1.0971,0.903,1.0747,0.9253,1.1171,0.8829,1.0276,0.9724,1.0666,0.9334,1.0336,0.9664,1.053,0.947,1.0656,0.9344
35,35,63.4349,4250.86209,1.1808,0.08367215,7.735e-05,559965,0.06165,0.9741,0.76316,0.44724,0.56397,0.94047,3.07194,0.08120458,0.0,559965,0.02381,0.98006,0.49123,0.34568,0.4058,0.80118,3.05588,0.13153804,0.0,559965,0.02369,0.96815,0.49275,0.26154,0.34171,0.77871,1.0827,0.9174,1.0918,0.9082,1.1006,0.8994,1.0754,0.9246,1.1197,0.8802,1.0323,0.9677,1.0691,0.9309,1.0345,0.9655,1.0524,0.9476,1.0669,0.9331
36,36,63.43094,4179.35337,1.16093,0.08266664,7.595e-05,559965,0.06164,0.97477,0.77534,0.45942,0.57696,0.93837,3.08255,0.07973505,0.0,559965,0.0239,0.9786,0.44615,0.35802,0.39726,0.82358,3.12418,0.12973907,0.0,559965,0.02422,0.97009,0.5614,0.24615,0.34225,0.78059,1.0841,0.9159,1.0927,0.9073,1.1037,0.8963,1.0774,0.9226,1.1223,0.8777,1.0338,0.9662,1.0694,0.9306,1.0356,0.9644,1.0531,0.9469,1.0701,0.9299
37,37,63.40577,4108.22873,1.14117,0.08010938,7.452e-05,559965,0.06162,0.97505,0.77364,0.47159,0.58598,0.94723,3.1083,0.07587011,0.0,559965,0.0241,0.98104,0.5283,0.34568,0.41791,0.82746,3.06966,0.13200381,0.0,559965,0.0238,0.96815,0.49153,0.22308,0.30688,0.77109,1.0865,0.9135,1.0954,0.9046,1.1056,0.8944,1.0794,0.9206,1.1247,0.8753,1.0367,0.9633,1.0728,0.9272,1.0366,0.9634,1.0568,0.9432,1.0742,0.9258
38,38,63.41698,4037.51746,1.12153,0.08164127,7.307e-05,559965,0.06163,0.97456,0.7651,0.46266,0.57663,0.94413,3.07459,0.07938041,0.0,559965,0.02383,0.98274,0.6087,0.34568,0.44094,0.81161,3.0638,0.14244129,0.0,559965,0.02375,0.96961,0.54545,0.23077,0.32432,0.75734,1.0855,0.9146,1.0959,0.9041,1.1067,0.8933,1.0809,0.9191,1.1279,0.8721,1.0377,0.9623,1.0742,0.9258,1.0369,0.9631,1.0582,0.9418,1.0766,0.9235
39,39,63.12291,3966.72979,1.10187,0.08104236,7.159e-05,559965,0.06134,0.97499,0.77748,0.4651,0.58202,0.94434,3.05186,0.07906588,0.0,559965,0.02366,0.98104,0.53191,0.30864,0.39062,0.8133,3.04801,0.13837045,0.0,559965,0.02363,0.96888,0.52,0.2,0.28889,0.7696,1.0878,0.9122,1.0958,0.9042,1.1102,0.8899,1.0848,0.9152,1.1301,0.8699,1.04,0.96,1.0731,0.9269,1.0379,0.9621,1.0612,0.9388,1.0766,0.9235
