,epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_auc,train_ap,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_auc,val_ap,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_auc,test_ap,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5
36,36,261.02475,16615.27904,4.61536,0.02741498,0.00037974,9745818,0.38106,0.98857,0.94746,0.4701,13.35558,0.04430123,0.0,9745818,0.1553,0.98136,0.88036,0.29672,14.02921,0.04681112,0.0,9745818,0.16313,0.97988,0.87713,0.28716,1.463,0.537,1.7676,0.2324,1.7843,0.2157,1.6891,0.3109,1.6292,0.3708
37,37,260.80138,16346.75869,4.54077,0.02718881,0.00037261,9745818,0.38073,0.98875,0.94902,0.4797,13.41028,0.04431951,0.0,9745818,0.15593,0.98121,0.88313,0.295,15.94332,0.04658454,0.0,9745818,0.18539,0.97964,0.87851,0.28506,1.4677,0.5323,1.7711,0.2289,1.7866,0.2134,1.6888,0.3112,1.6259,0.3741
38,38,259.72058,16076.94371,4.46582,0.02695414,0.00036534,9745818,0.37915,0.98877,0.95055,0.48331,13.38706,0.04428638,0.0,9745818,0.15566,0.98147,0.88318,0.29715,14.04162,0.04682607,0.0,9745818,0.16327,0.97993,0.87626,0.28477,1.4728,0.5272,1.7674,0.2326,1.7876,0.2124,1.69,0.31,1.632,0.368
39,39,265.71034,15816.61808,4.39351,0.02673831,0.00035794,9745818,0.3879,0.98888,0.95192,0.48884,13.84876,0.04440506,0.0,9745818,0.16103,0.98136,0.87833,0.29378,14.5704,0.04680974,0.0,9745818,0.16942,0.97985,0.87548,0.28504,1.4759,0.5241,1.7782,0.2218,1.7871,0.2129,1.6918,0.3082,1.6284,0.3715
40,40,263.94695,15553.49222,4.32041,0.02650313,0.00035042,9745818,0.38532,0.98905,0.95316,0.49482,13.86153,0.04469676,0.0,9745818,0.16118,0.98113,0.8801,0.29751,14.54174,0.04699389,0.0,9745818,0.16909,0.97974,0.87633,0.28793,1.4859,0.5141,1.7755,0.2245,1.788,0.212,1.6924,0.3076,1.6298,0.3701
41,41,264.62992,15291.27042,4.24758,0.02630156,0.0003428,9745818,0.38632,0.98911,0.95394,0.50248,13.34476,0.04440806,0.0,9745818,0.15517,0.98113,0.87827,0.29697,14.02026,0.04677301,0.0,9745818,0.16303,0.97989,0.87396,0.28542,1.4895,0.5105,1.7711,0.2289,1.7825,0.2175,1.6817,0.3183,1.6243,0.3757
42,42,260.48757,15023.44558,4.17318,0.02611431,0.00033507,9745818,0.38027,0.98922,0.95549,0.50433,13.36052,0.04447851,0.0,9745818,0.15535,0.98161,0.8779,0.29342,14.03185,0.04700206,0.0,9745818,0.16316,0.97989,0.87661,0.28781,1.4954,0.5046,1.7774,0.2226,1.7878,0.2122,1.6803,0.3198,1.6229,0.3771
43,43,263.28865,14759.51928,4.09987,0.02591437,0.00032725,9745818,0.38436,0.9893,0.9564,0.51553,13.36563,0.04444514,0.0,9745818,0.15541,0.98133,0.87862,0.29538,14.0237,0.04709556,0.0,9745818,0.16307,0.97978,0.87598,0.28467,1.4959,0.5041,1.7848,0.2152,1.7858,0.2142,1.6777,0.3224,1.6206,0.3794
44,44,259.52822,14491.02523,4.02528,0.02566495,0.00031935,9745818,0.37887,0.98945,0.95777,0.51906,13.33518,0.04488318,0.0,9745818,0.15506,0.981,0.87838,0.29252,14.05363,0.04753694,0.0,9745818,0.16341,0.97936,0.87473,0.28327,1.4972,0.5028,1.7874,0.2126,1.7836,0.2164,1.6774,0.3226,1.6198,0.3802
45,45,262.10901,14225.95061,3.95165,0.02548923,0.00031137,9745818,0.38264,0.98941,0.95813,0.52528,13.2868,0.04504453,0.0,9745818,0.1545,0.98127,0.87586,0.29616,14.06156,0.04753898,0.0,9745818,0.16351,0.97994,0.87342,0.28909,1.5014,0.4987,1.7875,0.2126,1.7879,0.2121,1.6733,0.3267,1.6168,0.3832
